Headline,Source,Posted,Description,Link
Apple's Vision Pro Headset Goes On Sale,Bloomberg,1 day ago,Apple's Vision Pro virtual reality headset is now on sale. CEO Tim Cook was at the flagship Apple Store in New York for the event. But the big question ...,https://www.bloomberg.com/news/videos/2024-02-02/apple-s-vision-pro-headset-goes-on-sale-video
Apple Stock Sours for Wall Street. It Isn’t Just a China Problem.,Barron s Online,2 days ago,"""Apple is likely to be range-bound and perform in line with the Nasdaq at best,"" say KeyBanc analysts.",https://www.barrons.com/articles/apple-stock-price-china-e985b29d
Apple Vision Pro to Goes on Sale With Over 600 Optimised Apps,Gadgets 360,2 days ago,Apple Vision Pro's sales will begin on Friday (February 2) in the US and the company just announced...,https://www.gadgets360.com/audio/news/apple-vision-pro-600-apps-games-optimised-announcement-sale-4979325
"Apple FYQ1 Revenue Rises, Ending Sales Slump; IPhone Sales A Beat; Growth Slows In Greater China",Deadline via Yahoo News,2 days ago,"Apple beat on the top and bottom line today, but investors nudged the shares lower as sales fell in...",https://www.yahoo.com/entertainment/apple-fyq1-revenue-rises-ending-215951527.html?fr=sycsrp_catchall
Apple To Reportedly Launch An Unnamed Foldable Device As Early As 2026 To Replace The iPad mini,Wccftech,2 days ago,"Apple has plans to launch a foldable device in 2026 or 2027, and in the process, a new report claims that the company will replace the iPad mini. Based on the latest report ...",https://wccftech.com/apple-launching-foldable-device-as-early-as-2026-to-replace-ipad-mini/
Apple Vision Pro: Game-Changing Device Or Pricey Misfire?,Investor's Business Daily,2 days ago,"Apple's Vision Pro headset, the tech giant's first major new product since the Apple Watch debuted...",https://www.investors.com/news/technology/apple-vision-pro-game-changing-device-or-pricey-misfire/
"...Meta, Microsoft And Other Tech Titans Uniting Against Apple To Elon Musk Mocking Vision Pro: Your...",Benzinga,10 hours ago,"Apple boasted of iPhone 15's record-breaking sales, but on the other, it faced severe backlash from tech leaders over EU App Store proposal.",https://www.benzinga.com/news/24/02/36922938/from-meta-microsoft-and-other-tech-titans-uniting-against-apple-to-elon-musk-mocking-vision-pro-your
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,Associated Press via Yahoo News,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid...",https://news.yahoo.com/apple-ends-yearlong-sales-slump-215349460.html?fr=sycsrp_catchall
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,Associated Press Finance via Yahoo Finance,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid...",https://finance.yahoo.com/news/apple-ends-yearlong-sales-slump-215349301.html?fr=sycsrp_catchall
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,Tech Xplore,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid demand for the latest model of its iPhone and still-robust growth in a services ...",https://techxplore.com/news/2024-02-apple-yearlong-sales-slump-slight.html
Apple’s Vision Pro Headset to Launch With 600 New Apps,PYMNTS.com,2 days ago,"Apple’s first mixed-reality headset, Vision Pro, is set to be released Friday (Feb. 2) and will...",https://www.pymnts.com/apple/2024/apples-vision-pro-headset-to-launch-with-600-new-apps/
Apple Vision Pro Bug Possibly 'Exploited' Before Patch Rollout,PC Magazine,2 days ago,Apple released a visionOS 1.0.2 update for its new Apple Vision Pro headset Wednesday to address an...,https://au.pcmag.com/vr/103660/apple-vision-pro-bug-possibly-exploited-before-patch-rollout
Apple’s most exciting AI iPhone features reportedly won’t be available until 2025,BGR,1 day ago,"After Apple reported its first quarter earnings call, the company’s CEO Tim Cook hinted at...",https://bgr.com/tech/apples-most-exciting-ai-iphone-features-reportedly-wont-be-available-until-2025/
"Apple Vision Pro headset has 600 specifically made apps, company says",The Independent US via AOL,2 days ago,Apple says that developers have made more than 600 apps and games for its new virtual reality...,https://www.aol.com/apple-vision-pro-headset-600-184750458.html
"Apple Vision Pro headset has 600 specifically made apps, company says",The Independent via Yahoo News,2 days ago,Apple says that developers have made more than 600 apps and games for its new virtual reality...,https://news.yahoo.com/apple-vision-pro-headset-600-184750535.html?fr=sycsrp_catchall
Apple AirPods Pro Vs. Beats Studio Buds: Top Earbuds Compared,Forbes,19 hours ago,"If you own an iPhone, you have your choice of two wireless earbuds that are designed with your device in mind—the Apple AirPods Pro (2nd Gen) or the Beats Studio Buds. Both ...",https://www.forbes.com/sites/forbes-personal-shopper/article/apple-airpods-pro-vs-beats-studio-buds/
Apple Vision Pro and Revolutionizing the PC,TG Daily,1 day ago,"The Apple Vision Pro is basically a PC you can wear on your head. Two areas where the Meta Quest 3 is better is in battery life (6 vs 2 hours) and in VR support, which the ...",https://tgdaily.com/technology/apple-vision-pro-and-revolutionizing-the-pc/
Apple Inc. (AAPL) Q1 2024 Earnings Call Transcript,Seeking Alpha,2 days ago,"Apple Inc. (NASDAQ:NASDAQ:AAPL) Q1 2024 Earnings Conference Call February 1, 2024 5:00 PM ETCompany ParticipantsSuhasini Chandramouli - Director of Investor...",https://seekingalpha.com/article/4666956-apple-inc-aapl-q1-2024-earnings-call-transcript
Apple China Slowdown Sparks Fears That Prized Market Is at Risk,Bloomberg,2 days ago,"Apple Inc.’s latest quarterly results triggered investor fears that the company is losing clout in China, a long-prized market that generates roughly a fifth of its sales.",https://www.bloomberg.com/news/articles/2024-02-02/apple-china-slowdown-sparks-fears-that-prized-market-is-at-risk
Apple’s 600+ Apps For New Mixed Reality Headset Include Max ‘Iron Throne Room’ Experience,Deadline via Yahoo News,2 days ago,Apple said today that more than 600 apps and games will be available on its new mixed reality...,https://www.yahoo.com/entertainment/apple-600-apps-mixed-reality-184003723.html?fr=sycsrp_catchall
"Apple Sues Former High-Level Employee for Trade Secret Use, Disclosure",The National Law Review,1 day ago,"Earlier this month, Apple filed suit in federal court in San Jose against its former employee, Simon Lancaster, for trade secret theft. The lawsuit alleges that Lancaster ...",https://www.natlawreview.com/node/147907/printable/print
"Apple Quarterly Profit, Revenue Top Wall Street Targets but China Lags",US News & World Report,2 days ago,Apple shares were down 1.7% in after-hours trading. The 2% rise in overall fiscal first-quarter sales for the company ended four straight quarters of sales declines on the ...,https://money.usnews.com/investing/news/articles/2024-02-01/apple-quarterly-profit-revenue-top-wall-street-targets-but-china-lags
Apple Declares Last MacBook Pro With an Optical Drive Obsolete - Slashdot,Slashdot,2 days ago,"Apple has discontinued support for the mid-2012 13-inch MacBook Pro, the last model to include an optical drive. Products are considered obsolete when Apple",https://apple.slashdot.org/story/24/02/01/1354246/apple-declares-last-macbook-pro-with-an-optical-drive-obsolete
Apple's China sales tumble highlights waning clout as local brands gain,Reuters via AOL,2 days ago,"BEIJING (Reuters) -Apple's weak China sales performance may have shocked investors, but customers...",https://www.aol.com/apples-china-sales-tumble-highlights-110931378.html
"Apple FYQ1 Revenue Rises, Ending Sales Slump; IPhone Sales A Beat; Growth Slows In Greater China",Deadline Hollywood,2 days ago,"Apple beat on the top and bottom line today, but investors nudged the shares lower as sales fell in...",https://deadline.com/2024/02/apple-beats-sales-slump-iphone-sales-rise-in-first-quarte-1235811458/
Apple Vision Pro Bug Possibly 'Exploited' Before Patch Rollout,PC Magazine,2 days ago,Apple released a visionOS 1.0.2 update for its new Apple Vision Pro headset Wednesday to address an...,https://www.pcmag.com/news/apple-vision-pro-bug-possibly-exploited-before-patch-rollout
Apple’s fight over Apple Watch patents could slow its health initiatives,MacDailyNews,3 days ago,Apple’s long-simmering patent headache over Apple Watch could slow the company’s rollout of new...,https://macdailynews.com/2024/01/31/apples-fight-over-apple-watch-patents-could-slow-its-health-initiatives/
Apple's Vision Pro will launch with 600 new apps built just for the handset,ZDNet,2 days ago,"Apple's official countdown for the launch of its Vision Pro on February 2 has started, and the company just announced that more than 600 apps have already been built for the ...",https://www.zdnet.com/article/apples-vision-pro-will-launch-with-600-new-apps-built-just-for-the-handset/
Apple's Vision Pro will launch with 600 new apps built just for the headset,ZDNet,2 days ago,"Apple's official countdown for the launch of its Vision Pro on February 2 has started, and the company just announced that more than 600 apps have already been built for the ...",https://www.zdnet.com/article/apples-vision-pro-will-launch-with-600-new-apps-built-just-for-the-headset/
"Apple earnings bring a return to growth, but China shortfall sends stock lower",Morningstar,2 days ago,"Apple Inc. broke its four-quarter streak of revenue declines in the holiday quarter, eking out 2% growth on the heels of better-than-expected iPhone sales. Still, shares of ...",https://www.morningstar.com/news/marketwatch/20240201694/apple-earnings-bring-a-return-to-growth-but-china-shortfall-sends-stock-lower
Apple's Vision Pro brings a burst of bizarre to Zoom calls,AOL,13 hours ago,"Get ready to Zoom into the future. Meetings are about to get a wild, sci-fi makeover with Apple's latest strap-on gizmo, the Vision Pro headset. Coming to a conference room ...",https://www.aol.com/news/apples-vision-pro-brings-burst-110025744.html
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,WKMG ClickOrlando,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid demand for the latest model of its iPhone and still-robust growth in a services ...",https://www.clickorlando.com/business/2024/02/01/apple-ends-yearlong-sales-slump-with-slight-revenue-rise-in-holiday-season-period-but-stock-slips/
Apple has once again secured the title of world's most esteemed company for 17th consecutive time,Mashable,2 days ago,"Apple, after surpassing the $3 trillion valuation milestone in late 2023, has once again garnered recognition as the most esteemed company globally for an unprecedented 17th ...",https://me.mashable.com/tech/37696/apple-has-once-again-secured-the-title-of-worlds-most-esteemed-company-for-17th-consecutive-time
"Apple's China sales fall 13% in December quarter amid weak iPhone demand, increased competition from...",South China Morning Post via Yahoo Finance,2 days ago,Apple reported a nearly 13 per cent drop in revenue from its Greater China region in the December...,https://finance.yahoo.com/news/apples-china-sales-fall-13-093000855.html?fr=sycsrp_catchall
"Apple Q1 results top estimates, but iPhone sales fall just shy amid China weakness",Investing.com,3 days ago,"Apple Q1 results top estimates, but iPhone sales fall just shy amid China weakness",https://in.investing.com/news/apple-q1-results-top-estimates-but-iphone-sales-fall-just-shy-amid-china-weakness-3999318
"Apple Q1 results top estimates, but iPhone sales fall just shy amid China weakness",Investing.com,3 days ago,"Apple Q1 results top estimates, but iPhone sales fall just shy amid China weakness",https://za.investing.com/news/apple-q1-results-top-estimates-but-iphone-sales-fall-just-shy-amid-china-weakness-2997104
"Apple Vision Pro is 'tomorrow's technology today,' says Tim Cook - Apple Vision Pro Discussions on...",AppleInsider,1 day ago,"In a new interview just minutes after the release of Apple Vision Pro, Apple CEO Tim Cook calls the new headset ""magical,"" and says it's $3,499 is the right ...",https://forums.appleinsider.com/discussion/235279/apple-vision-pro-is-tomorrows-technology-today-says-tim-cook
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,Associated Press,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid...",https://apnews.com/article/apple-earnings-quarter-iphone-stock-6cd106723879cc1dea891d81e257fbc8
Apple Ends Yearlong Sales Slump With Slight Revenue Rise in Holiday-Season Period but Stock Slips,US News & World Report,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid demand for the latest model of its iPhone and still-robust growth in a services ...",https://www.usnews.com/news/business/articles/2024-02-01/apple-ends-yearlong-sales-slump-with-slight-revenue-rise-in-holiday-season-period-but-stock-slips
Apple Vision devs see evidence of apps being tested on visionOS 2.0 - Apple Vision Pro Discussions...,AppleInsider,3 days ago,"Apple Vision Pro shipments start in just days, and AppleInsider has obtained information showing...",https://forums.appleinsider.com/discussion/235238/apple-vision-devs-see-evidence-of-apps-being-tested-on-visionos-2-0
Apple iPhone target is billions short of Wall Street's as China sales lag,Reuters via Yahoo News,2 days ago,(Reuters) -Apple on Thursday forecast a drop in iPhone sales and targeted overall revenue $6 billion...,https://www.yahoo.com/tech/apple-quarterly-profit-revenue-top-213025543.html
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,Quartz,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid demand for the latest model of its iPhone and still-robust growth in a services ...",https://qz.com/apple-ends-yearlong-sales-slump-with-slight-revenue-ris-1851218439
Apple iPhone target is billions short of Wall Street's as China sales lag,Reuters via Yahoo Finance,2 days ago,(Reuters) -Apple on Thursday forecast a drop in iPhone sales and targeted overall revenue $6 billion...,https://finance.yahoo.com/news/apple-quarterly-profit-revenue-top-213025341.html?fr=sycsrp_catchall
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,Seattle Times,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid...",https://www.seattletimes.com/business/apple-ends-yearlong-sales-slump-with-slight-revenue-rise-in-holiday-season-period-but-stock-slips/
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,The Hill,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid demand for the latest model of its iPhone and still-robust growth in a services ...",https://thehill.com/homenews/ap/ap-technology/ap-apple-ends-yearlong-sales-slump-with-slight-revenue-rise-in-holiday-season-period-but-stock-slips-2/
Apple's next Studio Display could be curved and very secure,AppleInsider,2 days ago,Apple has been researching how to make privacy filters to prevent anyone but the user from seeing...,https://appleinsider.com/articles/24/02/01/apples-next-studio-display-could-be-curved-and-very-secure
"Apple debuts new Vision Pro ad, 'First-Timer'",MacDailyNews,1 day ago,"On the launch day for its new Apple Vision Pro spatial computer, Apple has debuts a new ad called ""First-Timer."" The new ad…",https://macdailynews.com/2024/02/02/apple-debuts-new-vision-pro-ad-first-timer/
"Apple Vision Pro launched with over 600 apps, and Microsoft made 7 of them",Windows Central via Yahoo News,1 day ago,"Apple Vision Pro launched today, and the augmented reality headset has over 600 apps available....",https://www.yahoo.com/tech/apple-vision-pro-launched-over-183027692.html
"Apple Services Revenue Hits New Record, Jumping 11% to $23.1 Billion in Year-End 2023 Quarter",Variety via AOL,2 days ago,"Apple turned in another record quarter in its services business, as strong iPhone 15 sales boosted...",https://www.aol.com/apple-services-revenue-hits-record-213743678.html
"Apple Services Revenue Hits New Record, Jumping 11% to $23.1 Billion in Year-End 2023 Quarter",Variety via Yahoo News,2 days ago,"Apple turned in another record quarter in its services business, as strong iPhone 15 sales boosted...",https://www.yahoo.com/entertainment/apple-services-revenue-hits-record-213743330.html?fr=sycsrp_catchall
Apple Vision Pro sneaks in a mutated lightning connector,KnowTechie,2 days ago,"Apple has managed to sneak in a mutated lightning connector into the Vision Pro, hidden as the...",https://knowtechie.com/apple-vision-pro-biggest-lightning-connector/
Apple just made some exciting upgrades to the Apple Card,TheStreet.com,4 days ago,"Yes, Apple's (AAPL) in the hardware, software, and services game, but its also been in the financial space since 2019 with the launch of the Apple Card.",https://www.thestreet.com/technology/apple-card-12-million-members-january-2023-feature-update
Apple's Vision Pro will launch with 600 new apps,Mashable,2 days ago,"Apple Vision Pro will launch with more than 600 apps and games, designed exclusively for the new headset, Apple has announced. The Vision Pro, which launches ...",https://mashable.com/article/apple-vision-pro-600-new-apps
"Apple sales boost profits, but China struggles continue | CNN Business",CNN.com,2 days ago,"Apple on Thursday reported slowing sales in China, its third-largest market, but still posted its...",https://www.cnn.com/2024/02/01/business/apple-earnings/index.html
Apple Vision Pro immersive titles have begun showing up in Apple TV app ahead of launch |...,AppleInsider,3 days ago,"Apple's 8K immersive experience series have started populating in the Apple TV app, though you'll...",https://appleinsider.com/articles/24/02/01/apple-vision-pro-immersive-titles-have-begun-showing-up-in-apple-tv-app-ahead-of-launch
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips -...,WTOP Washington,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid demand for the latest model of its iPhone and still-robust growth in a services ...",https://wtop.com/business-finance/2024/02/apple-ends-yearlong-sales-slump-with-slight-revenue-rise-in-holiday-season-period-but-stock-slips/
Apple's Vision Pro will launch with 600 new apps,Mashable,2 days ago,"Apple Vision Pro will launch with more than 600 apps and games, designed exclusively for the new headset, Apple has announced. The Vision Pro, which launches ...",https://me.mashable.com/apps-and-software/37680/apples-vision-pro-will-launch-with-600-new-apps
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,Houston Chronicle,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid...",https://www.chron.com/business/article/apple-ends-yearlong-sales-slump-with-slight-18642980.php
"Apple’s $3,500 Vision Pro Launches Today—What To Know About The Mixed-Reality Headset",Forbes,2 days ago,"Apple’s Vision Pro headset will be released in the U.S. tomorrow starting at $3,500, bringing the highly anticipated and pricey product to market after more than a decade ...",http://www.forbes.com/sites/antoniopequenoiv/2024/02/01/apples-3500-vision-pro-launches-tomorrow-what-to-know-about-the-mixed-reality-headset/
"Apple’s $3,500 Vision Pro Launches Today—What To Know About The Mixed-Reality Headset",Forbes,2 days ago,"Apple’s Vision Pro headset will be released in the U.S. tomorrow starting at $3,500, bringing the highly anticipated and pricey product to market after more than a decade ...",https://www.forbes.com/sites/antoniopequenoiv/2024/02/01/apples-3500-vision-pro-launches-tomorrow-what-to-know-about-the-mixed-reality-headset/
Apple Stock Slips Despite Earnings Beat. Its Services Business Fell Short. China Sales Dropped 13%.,Barron s Online,2 days ago,"Apple shares are down in late trading Thursday after the company reported December-quarter results that topped Wall Street estimates, with strength in iPhones, but lower than ...",https://www.barrons.com/livecoverage/apple-amazon-meta-facebook-earnings-stock-price-today/card/apple-stock-slips-despite-earnings-beat-its-services-business-fell-short--QTt2teh0POgSeLHR5vQD
Apple Vision Pro Bug Possibly 'Exploited' Before Patch Rollout,PC Magazine,2 days ago,Apple released a visionOS 1.0.2 update for its new Apple Vision Pro headset Wednesday to address an...,https://me.pcmag.com/en/vr/21768/apple-vision-pro-bug-possibly-exploited-before-patch-rollout
Apple has one active device per four people on the planet - iPhone Discussions on AppleInsider...,AppleInsider,2 days ago,Apple's fourth quarter earnings revealed that there are more than 2.2 billion active devices in use...,https://forums.appleinsider.com/discussion/235268/apple-has-one-active-device-per-four-people-on-the-planet
Apple Vision Pro launches with over 600 apps — here's what to expect,Tom's Guide,2 days ago,Apple Vision Pro launches tomorrow (February 2) with over 600 apps and games designed specifically...,https://www.tomsguide.com/computing/vr-ar/apple-vision-pro-launches-with-over-600-apps-heres-what-to-expect
Apple's Earnings Are Soon. Pay Attention to the iPhone Sales Outlook,Barrons.com,3 days ago,Apple is getting ready to report what could be its fifth straight quarter without any revenue...,https://www.barrons.com/livecoverage/apple-amazon-meta-facebook-earnings-stock-price-today/card/apple-s-earnings-are-soon-pay-attention-to-the-iphone-sales-outlook-irTUTk8dA3slrDwN09aq?siteid=yhoof2&yptr=yahoo
"Apple loses $84 billion in value after reporting weak sales in China, the ‘most competitive...",AOL,2 days ago,Apple should have been enjoying the release of its most recent quarterly results. The iPhone manufacturer returned to quarterly sales growth for the three months ending Dec ...,https://www.aol.com/finance/apple-loses-84-billion-value-072919600.html
"Apple Vision Pro headset has 600 specifically made apps, company says",The Independent via Yahoo News,2 days ago,Apple says that developers have made more than 600 apps and games for its new virtual reality...,https://www.yahoo.com/tech/apple-vision-pro-headset-600-184750222.html
Apple TV+ just confirmed another season of Hijack is in the works,Cosmo via Yahoo News,3 days ago,Season two of Apple TV+'s Hijack is in the works Apple After an incredibly tense and gripping season...,https://www.yahoo.com/lifestyle/apple-tv-just-confirmed-another-111800012.html?fr=sycsrp_catchall
"Apple Music, TV Segment Sees Record Revenue, Helped by Price Increases",The Hollywood Reporter,2 days ago,"Apple hit an all-time revenue record in its services sector, which includes Apple TV+, Apple Music, Apple Arcade and ...",https://www.hollywoodreporter.com/business/business-news/apple-music-tv-segment-sees-record-revenue-price-increases-1235812991/
Apple design execs explain why EyeSight is a 'core' feature of Vision Pro - 9to5Mac,9to5Mac,1 day ago,"In a new interview with Wallpaper, Apple design executives Alan Dye and Richard Howarth offered some new details on Apple Vision Pro’s design language.",https://9to5mac.com/2024/02/02/apple-executives-vision-pro-eyesight/
Apple Appears Poised for an Earnings Suprise: ETFs in Focus,Zacks,3 days ago,"Apple has reasonable chances to beat earnings estimates and saw a positive earnings estimate revision activity, which is generally a precursor to an earnings beat.",https://www.zacks.com/stock/news/2219704/apple-appears-poised-for-an-earnings-suprise-etfs-in-focus
"Apple CEO Tim Cook says iPhone sales booming in India, Apple beats Samsung for first time in 2023",MSN News,2 days ago,"As Apple declared its latest quarterly results, Apple CEO Tim Cook had a few words to say about the...",https://www.msn.com/en-in/money/technology/apple-ceo-tim-cook-says-iphone-sales-booming-in-india-apple-beats-samsung-for-first-time-in-2023/ar-BB1hEpms
"Apple Car could automatically pick you up, take you home, and play your music on the way",AppleInsider,2 days ago,Apple has been researching how an Apple Car could reduce how a driver even needs to think about...,https://appleinsider.com/articles/24/02/01/apple-car-could-automatically-pick-you-up-take-you-home-and-play-your-music-on-the-way
Apple set to unveil ‘revolutionary’ 20-ounce Vision Pro headset described as ‘face-hugging alien’,New York Post,2 days ago,Apple is set to unveil its new Vision Pro headset hailed as “revolutionary” by James Cameron and...,https://nypost.com/2024/02/01/tech/apple-set-to-unveil-revolutionary-vision-pro-headset-likened-to-tech-fentanyl/
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,AOL,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid demand for the latest model of its iPhone and still-robust growth in a services ...",https://www.aol.com/news/apple-ends-yearlong-sales-slump-215349475.html
Apple iPhone target is billions short of Wall Street's as China sales lag,Reuters via AOL,2 days ago,(Reuters) -Apple on Thursday forecast a drop in iPhone sales and targeted overall revenue $6 billion...,https://www.aol.com/apple-quarterly-profit-revenue-top-213025880.html
Apple says the EU accounts for just 7% of its global App Store revenue - 9to5Mac,9to5Mac,2 days ago,"During Apple’s Q1 2024 earnings call with analysts and investors today, CEO Tim Cook and CFO Luca...",https://9to5mac.com/2024/02/01/apple-says-the-eu-accounts-for-just-7-of-its-global-app-store-revenue/
Apple China Slowdown Sparks Fears That Prized Market Is at Risk,Bloomberg via Yahoo Finance,2 days ago,(Bloomberg) -- Apple Inc.’s latest quarterly results triggered investor fears that the company is...,https://finance.yahoo.com/news/apple-china-slowdown-sparks-fears-025751973.html?fr=sycsrp_catchall
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,The News-Times,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid...",https://www.newstimes.com/business/article/apple-ends-yearlong-sales-slump-with-slight-18642980.php
"Apple TV+ Shares ‘Snoopy Presents: Welcome Home, Franklin’ Trailer",Animation World Network,1 day ago,"Apple TV+ has shared a trailer for its newest addition to the “Peanuts” franchise, Snoopy Presents:...",https://www.awn.com/news/apple-tv-shares-snoopy-presents-welcome-home-franklin-trailer
Apple promises AI innovation as China iPhone sales slip,Digital Journal,2 days ago,Apple chief Tim Cook on Thursday promised the tech titan has artificial intelligence news in store...,https://www.digitaljournal.com/world/apple-promises-ai-innovation-as-china-iphone-sales-slip/article
Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,San Francisco Chronicle,2 days ago,"Apple snapped out of a yearlong sales funk during its holiday-season quarter, propelled by solid...",https://www.sfgate.com/business/article/apple-ends-yearlong-sales-slump-with-slight-18642980.php
...AI Efforts Have Wedbush's Dan Ives Excited: 'We View Apple Like Meta 18 Months Ago' - Alphabet...,Benzinga,15 hours ago,Apple Inc. AAPL CEO Tim Cook's first mention of AI during the December quarter earnings call has...,https://www.benzinga.com/analyst-ratings/analyst-color/24/02/36921942/tim-cooks-ai-efforts-have-wedbushs-dan-ives-excited-we-view-apple-like-meta-18-mont
Apple Vision Pro Day 1: Here’s What Every User Will See Today,Forbes,2 days ago,"Apple Vision Pro is now on sale—though if you’re ordering it now, you’ll have two to three weeks to wait. Scott Stein, editor at large for CNET, has updated the software on ...",https://www.forbes.com/sites/davidphelan/2024/02/02/apple-vision-pro-day-1-heres-what-every-user-will-see-today/
Apple's Vision Pro will launch with 600 new apps,Mashable,2 days ago,"Apple Vision Pro will launch with more than 600 apps and games, designed exclusively for the new headset, Apple has announced. The Vision Pro, which launches ...",https://sea.mashable.com/apps-and-software/30964/apples-vision-pro-will-launch-with-600-new-apps
Apple Vision Pro isn't trackable via Find My app on another device or iCloud.com,Neowin,1 day ago,Apple has uploaded several support documents to explain stuff like how to clean your Vision Pro and...,https://www.neowin.net/news/apple-vision-pro-isnt-trackable-via-find-my-app-on-another-device-or-icloudcom/
"Apple Vision Pro Is 'Mind-Blowing,' Says CEO Tim Cook: 'We Live In A 3D World, But The Content That...",Benzinga,2 days ago,Technology giant Apple Inc AAPL unveiled its Apple Vision Pro augmented reality headset at WWDC 2023 in June of last year. With the device set for a public ...,https://www.benzinga.com/analyst-ratings/analyst-color/24/02/36896845/apple-vision-pro-is-mind-blowing-says-ceo-tim-cook-we-live-in-a-3d-world-but-the-co
Apple's Vision Pro brings a burst of bizarre to Zoom calls,Fox News,13 hours ago,"Get ready to Zoom into the future. Meetings are about to get a wild, sci-fi makeover with Apple's...",https://www.foxnews.com/tech/apples-vision-pro-brings-burst-of-bizarre-to-zoom-calls
Apple sold enough iPhones and services last quarter to reverse a downward revenue trend,Engadget,2 days ago,"After four consecutive quarters of revenue decline, Apple broke the trend and reported its first...",https://www.engadget.com/apple-sold-enough-iphones-and-services-last-quarter-to-reverse-a-downward-revenue-trend-223109289.html
"Warm up that AirTag - Apple Vision Pro doesn't support Find My, so don't lose it",TweakTown,6 hours ago,Apple's Vision Pro is now on sale and a new support document has confirmed that it doesn't support some key Find My network features. Apple's Vision Pro ...,https://www.tweaktown.com/news/95976/warm-up-that-airtag-apple-vision-pro-doesnt-support-find-my-so-dont-lose-it/index.html
"Apple, Skechers fall; Amazon, Deckers Outdoor rise, Friday, 2/2/2024",Stamford Advocate,1 day ago,"Stocks that traded heavily or had substantial price changes on Friday: Apple, Skechers...",https://www.stamfordadvocate.com/business/article/apple-skechers-fall-amazon-deckers-outdoor-18644646.php
"Apple, Skechers fall; Amazon, Deckers Outdoor rise, Friday, 2/2/2024",The News-Times,1 day ago,"Stocks that traded heavily or had substantial price changes on Friday: Apple, Skechers...",https://www.newstimes.com/business/article/apple-skechers-fall-amazon-deckers-outdoor-18644646.php
Apple logs another quarter revenue record in India,Investing.com,2 days ago,"Cupertino, Feb 2 (IANS) Apple (NASDAQ: AAPL ) has registered strong double-digit growth in the December quarter in India, reaching another quarter...",https://in.investing.com/news/apple-logs-another-quarter-revenue-record-in-india-3999561
Analysis-Vision Pro headset is Apple's next Mac and TV combined,Reuters via Yahoo Finance,12 hours ago,(Reuters) -Apple's Vision Pro could upend how people watch television at home and how they use...,https://finance.yahoo.com/news/analysis-vision-pro-headset-apples-120239926.html?fr=sycsrp_catchall
Apple Original Films’ ‘Argylle’ With C+ CinemaScore & Near $17M Opening Isn’t Cutting It At Weekend...,Deadline Hollywood,9 hours ago,"SATURDAY AM: While the theatrical marketplace is starving for big movies post strike, Apple Original...",https://deadline.com/2024/02/box-office-argylle-1235812281/
Apple Vision Pro launches with over 600 apps — here's what to expect,Tom's Guide via Yahoo News,2 days ago,Apple Vision Pro on table. Apple Vision Pro launches tomorrow (February 2) with over 600 apps and...,https://www.yahoo.com/tech/apple-vision-pro-launches-over-163928440.html
Apple Vision Pro: 3 features it shares with Meta Quest 3 that may shock you,Mashable,1 day ago,"Apple Vision Pro has a starting price of nearly $4,000, and yet, some of its best selling points can...",https://mashable.com/article/apple-vision-pro-3-features-meta-quest-3
Apple Original Films’ ‘Argylle’ With C+ CinemaScore & Near $17M Opening Isn’t Cutting It At Weekend...,Deadline via Yahoo News,9 hours ago,"SATURDAY AM: While the theatrical marketplace is starving for big movies post strike, Apple Original...",https://www.yahoo.com/entertainment/apple-original-films-argylle-sees-160243294.html?fr=sycsrp_catchall
